ID,Customername,Customeremail,OrderNumber,OrderType,RequestedDeliveryDate,BillingAddress,ShippingAddress,status_code,totalAmount,createdAt,createdBy,modifiedAt,modifiedBy
30919760-baa1-485e-bc82-f41191a8937c,Customername-3091976,Customeremail-3091976,OrderNumber-3091976,CREDIT,2012-04-26,BillingAddress-3091976,ShippingAddress-3091976,Pending,27840965,2005-05-20T00:00:00.000Z,createdBy.1u9s8@example.net,2009-02-04T00:00:00.000Z,modifiedBy.1u9s8@example.org
3091977b-a529-430c-9840-2b0e1ddf8f1a,Customername-3091977,Customeremail-3091977,OrderNumber-3091977,RETURN,2001-07-18,BillingAddress-3091977,ShippingAddress-3091977,Pending,65255687.54,2006-02-22T00:00:00.000Z,createdBy.1u9s9@example.net,2013-01-02T00:00:00.000Z,modifiedBy.1u9s9@example.org
30919787-0a18-4d25-8869-31bd831ea1e9,Customername-3091978,Customeremail-3091978,OrderNumber-3091978,STANDARD,2002-04-15,BillingAddress-3091978,ShippingAddress-3091978,Pending,74234663.92,2023-11-09T00:00:00.000Z,createdBy.1u9sa@example.net,2014-09-26T00:00:00.000Z,modifiedBy.1u9sa@example.org
3091979a-54a3-4705-8521-07ca995d79a6,Customername-3091979,Customeremail-3091979,OrderNumber-3091979,RUSH,2004-01-01,BillingAddress-3091979,ShippingAddress-3091979,Pending,37404673.67,2007-06-28T00:00:00.000Z,createdBy.1u9sb@example.net,2022-03-25T00:00:00.000Z,modifiedBy.1u9sb@example.com
30919804-8b72-4091-9a18-c118080ab572,Customername-3091980,Customeremail-3091980,OrderNumber-3091980,CREDIT,2005-03-22,BillingAddress-3091980,ShippingAddress-3091980,Pending,42919076.88,2010-09-27T00:00:00.000Z,createdBy.1u9sc@example.net,2018-09-10T00:00:00.000Z,modifiedBy.1u9sc@example.net
30919810-74a8-42a9-b294-cb964c981919,Customername-3091981,Customeremail-3091981,OrderNumber-3091981,RETURN,2006-09-25,BillingAddress-3091981,ShippingAddress-3091981,Pending,20217184.36,2009-06-06T00:00:00.000Z,createdBy.1u9sd@example.com,2008-12-24T00:00:00.000Z,modifiedBy.1u9sd@example.com
30919821-cb01-4367-8acd-85a09e88ff95,Customername-3091982,Customeremail-3091982,OrderNumber-3091982,RUSH,2016-05-14,BillingAddress-3091982,ShippingAddress-3091982,Pending,48117988.57,2005-09-20T00:00:00.000Z,createdBy.1u9se@example.org,2009-04-22T00:00:00.000Z,modifiedBy.1u9se@example.com
30919830-2ca5-48ae-aca7-5e6c02c74a18,Customername-3091983,Customeremail-3091983,OrderNumber-3091983,RETURN,2009-04-14,BillingAddress-3091983,ShippingAddress-3091983,Pending,84285245.14,2023-03-21T00:00:00.000Z,createdBy.1u9sf@example.net,2022-03-05T00:00:00.000Z,modifiedBy.1u9sf@example.net
3091984e-561e-4b86-8474-bcf922f81d44,Customername-3091984,Customeremail-3091984,OrderNumber-3091984,RUSH,2003-02-06,BillingAddress-3091984,ShippingAddress-3091984,Pending,83948333.01,2021-05-09T00:00:00.000Z,createdBy.1u9sg@example.org,2005-01-10T00:00:00.000Z,modifiedBy.1u9sg@example.org
30919854-08ed-43d7-863a-5f5fcce94224,Customername-3091985,Customeremail-3091985,OrderNumber-3091985,STANDARD,2005-05-26,BillingAddress-3091985,ShippingAddress-3091985,Pending,88394962.74,2015-03-31T00:00:00.000Z,createdBy.1u9sh@example.com,2020-12-08T00:00:00.000Z,modifiedBy.1u9sh@example.net
